SampleID	Entamoeba	E_histolytica	E_vermicularis	Ostertagia_ostertagi	Trichuris_trichiura	B_ST1	B_ST2	B_ST3	B_ST8	Blastocystis	V4	V9	Blasto	Genus	Species	Genus_species	Diet	Country	Habitat2	Phyl_Group	BodyMass.Value	Activity_Time	Foraging_Strata.Value	Age_at_FirstBirth_d	GestationLength_d	HomeRange_km2	LitterSize	LittersPerYear	PopulationDensity_n.km2	PopulationGrpSize	SocialGrpSize	WeaningAge_d
JB29	P	N	N	P	N	N	N	N	N	N	yes	yes	yes	Theropithecus	gelada	Theropithecus_gelada	Folivore	Ethiopia	Savannah	Old_World	17049.83	Diurnal	ground_level	1505.62	178.64	1.16	1.01	NA	51.42	112	10	NA
JB27	P	N	P	P	N	N	N	N	N	N	yes	yes	yes	Theropithecus	gelada	Theropithecus_gelada	Folivore	Ethiopia	Savannah	Old_World	17049.83	Diurnal	ground_level	1505.62	178.64	1.16	1.01	NA	51.42	112	10	NA
ERUB104M	P	P	N	N	N	N	N	N	N	N	yes	yes	yes	Eulemur	rubriventer	Eulemur_rubriventer	Not	Madagascar	Rainforest	Lemur	1400	Diurnal	arboreal	NA	126.99	0.13	1.01	NA	30	4.75	3.3	151.22
Ptr10	P	P	N	N	N	N	N	N	N	N	yes	yes	yes	Pan	troglodytes	Pan_troglodytes	Not	Uganda	Rainforest	Ape	42500	Diurnal	scansorial	5073.5	231.49	10.85	1.05	NA	1.63	45	50	1260.81
PVQui	P	P	N	N	N	N	N	N	N	N	yes	yes	yes	Propithecus	verreauxi	Propithecus_verreauxi	Folivore	Madagascar	Rainforest	Lemur	3480	Diurnal	arboreal	1668.05	149.77	0.03	1.02	1	150	7.5	6.3	177.83
RT2013	P	P	N	N	N	N	N	N	N	N	yes	yes	yes	Cercopithecus	ascanius	Cercopithecus_ascanius	Not	Uganda	Rainforest	Old_World	3550	Diurnal	arboreal	1825	148.5	0.16	1.01	NA	105.79	34	26.3	146.54
APF38	N	N	N	N	N	N	N	N	N	N	yes	yes	yes	Alouatta	pigra	Alouatta_pigra	Folivore	Mexico	Rainforest	New_World	7000.03	Diurnal	arboreal	NA	185.92	0.3	1.01	NA	8.53	NA	5.5	NA
AsenLink3	N	N	N	N	N	N	N	N	N	N	no	yes	yes	Alouatta	seniculus	Alouatta_seniculus	Folivore	Ecuador	Rainforest	New_World	6145.54	Diurnal	arboreal	1671.7	189.9	0.1	1.42	NA	44.49	NA	7.9	370.04
AsenLink1	N	N	N	N	N	N	N	N	N	N	no	yes	yes	Alouatta	seniculus	Alouatta_seniculus	Folivore	Ecuador	Rainforest	New_World	6145.54	Diurnal	arboreal	1671.7	189.9	0.1	1.42	NA	44.49	NA	7.9	370.04
AtbelzLink1	N	N	N	N	N	N	N	N	N	N	no	yes	yes	Ateles	belzebuth	Ateles_belzebuth	Not	Ecuador	Rainforest	New_World	5000	Diurnal	arboreal	NA	138.2	2.28	1.02	NA	13.49	NA	14.5	NA
